timestamp,atk_type,sensor_number,src_ip,dst_ip,protocol,reference,info,location,longitude,latitude,src_or_dst
2017-04-06 23:54:35,normal,tielu,10.79.196.49,10.79.196.255,udp,dns,info,none,98.7,29.6,10.79.196.49
2017-04-06 23:54:36,normal,tielu,10.79.196.130,10.79.196.255,udp,dns,info,none,98.7,29.6,10.79.196.130
2017-04-06 23:54:47,normal,tielu,10.79.196.59,10.79.196.255,udp,dns,info,none,98.7,29.6,10.79.196.59
2017-04-06 23:50:07,normal,tielu,10.79.192.184,10.79.196.83,tcp,-,info,none,98.7,29.6,10.79.192.184
2017-04-06 23:50:07,normal,tielu,10.64.2.178,10.79.196.19,tcp,-,info,none,98.7,29.6,10.64.2.178
2017-04-06 23:50:07,normal,tielu,10.79.192.173,10.79.196.83,tcp,-,info,none,98.7,29.6,10.79.192.173
2017-04-06 23:54:55,normal,tielu,10.79.196.21,10.79.196.255,udp,-,info,none,98.7,29.6,10.79.196.21
2017-04-06 23:54:55,normal,tielu,10.79.196.59,10.79.196.255,udp,-,info,none,98.7,29.6,10.79.196.59
2017-04-06 23:24:12,normal,tielu,10.79.196.69,239.255.255.250,udp,-,info,none,98.7,29.6,10.79.196.69
2017-04-06 23:51:31,normal,tielu,10.79.196.28,10.79.196.255,udp,-,info,none,98.7,29.6,10.79.196.28
2017-04-06 23:54:53,normal,tielu,10.79.196.71,10.79.196.255,udp,-,info,none,98.7,29.6,10.79.196.71
2017-04-06 23:24:42,normal,tielu,10.79.196.63,239.255.255.250,udp,-,info,none,98.7,29.6,10.79.196.63
2017-04-06 23:54:32,normal,tielu,10.79.196.50,10.79.196.255,udp,-,info,none,98.7,29.6,10.79.196.50
